Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Del Valle Pêssego ,1L,Suco,unidade,9un,Coca Cola,,"R$ 11,00",,,,
Maratá Acerola,1L,Suco,unidade,28un,,,"R$ 8,00",,,,
Maratá Pêssego ,1L,Suco,unidade,14un,,,"R$ 8,00",,,,
Maratá Maracujá ,1L,Suco,unidade,24un,,,"R$ 8,00",,,,
Maratá Caju,Indisponivel,Indisponível,unidade,,,,"R$ 8,00",,,,
Maratá Cajá ,Indisponivel,Indisponível,unidade,,,,"R$ 8,00",,,,
Maratá Laranja,1L,Suco,unidade,21un,,,"R$ 8,00",,,,
Maratá Goiaba,1L,Suco,unidade,39un,,,"R$ 8,00",,,,
Maratá Manga,1L,Suco,unidade,12un,,,"R$ 8,00",,,,
Maratá Uva,1L,Suco,unidade,24un,,,"R$ 8,00",,,,
Maratá Abacaxi ,1L,Suco,unidade,24un,,,"R$ 8,00",,,,
Água Frescca,"1,5L",Água,unidade,13un,Atento,,"R$ 4,00",,,,
Guaraná Retornável,1L,Refrigerante,unidade,2un,Ambev,,"R$ 7,50",,,,
Coca Retornável ,1L,Refrigerante,unidade,56un,Coca Cola,,"R$ 7,50",,"R$ 55,00",,
Coca Retornável ,2L,Refrigerante,"unidade, caixa (9un.)",134un,Coca Cola,,"R$ 9,50",,"R$ 67,00",,
Coca Retornável SEM AÇÚCAR ,2L,Refrigerante,unidade,74un,Coca Cola,,"R$ 9,50",,,,
Fanta Laranja,2L,Refrigerante,unidade,4un,Coca Cola,,"R$ 10,00",,,,
Fanta Uva,2L,Refrigerante,unidade,27un,Coca Cola,,"R$ 10,00",,,,
Guaraná SEM AÇÚCAR ,2L,Refrigerante,unidade,23un,Ambev,,"R$ 10,00",,,,
Guaraná ,2L,Refrigerante,unidade,5un,Ambev,,"R$ 10,00",,,,
Sprite,2L,Refrigerante,unidade,19un,Coca Cola,,"R$ 10,00",,,,
Soda,2L,Refrigerante,unidade,12un,Ambev,,"R$ 10,00",,,,
Pepsi Twist,2L,Refrigerante,unidade,3un,Ambev,,"R$ 10,00",,,,
Pepsi ,2L,Refrigerante,unidade,3un,Ambev,,"R$ 10,00",,,,
Convensão Guaraná ,Indisponivel,Indisponível,unidade,24un,,,"R$ 7,00",,,,
Convensão Frutaina,Indisponivel,Indisponível,unidade,,,,"R$ 7,00",,,,
Sukita Laranja,2L,Refrigerante,unidade,10un,Ambev,,"R$ 9,00",,,,
Sukita Uva,2L,Refrigerante,unidade,13un,Ambev,,"R$ 9,00",,,,
Vibe,2L,Energético,unidade,58un,,,"R$ 11,00",,,,
Black Princess,330ml,Cerveja,unidade,12un,Itaipava,,"R$ 7,00",,,,
Stella Artois Gold (Sem Glúten),330ml,Cerveja,unidade,18un,Ambev,,"R$ 8,00",,,,
51 Ice LIMÃO ,275ml,Bebida Mista,unidade,23un,,,"R$ 8,00",,"R$ 45,00",,
51 Ice MARACUJÁ ,275ml,Bebida Mista,unidade,54un,,,"R$ 8,00",,,,
51 Ice MAÇÃ VERDE,275ml,Bebida Mista,unidade,51un,,,"R$ 8,00",,,,
51 Ice KIWI,275ml,Bebida Mista,unidade,49un,,,"R$ 8,00",,,,
51 Ice AÇAÍ ,275ml,Bebida Mista,unidade,84un,,,"R$ 8,00",,,,
51 Ice BALADA,275ml,Bebida Mista,unidade,60un,,,"R$ 8,00",,,,
51 Ice FRUIT MIX,275ml,Bebida Mista,unidade,62un,,,"R$ 8,00",,,,
Cabaré Ice FRUTAS VERMELHAS,275ml,Bebida Mista,unidade,21un,Itaipava,,"R$ 9,00",,"R$ 50,00",,
Cabaré Ice FRUTAS AMARELAS,275ml,Bebida Mista,unidade,15un,Itaipava,,"R$ 9,00",,,,
Cabaré Ice LIMÃO ,275ml,Bebida Mista,unidade,18un,Itaipava,,"R$ 9,00",,,,
Smirnoff Ice Original,275ml,Bebida Mista,unidade,531un,Ambev,,"R$ 10,00",,"R$ 55,00",,
Skol Beats Long SENSES,269ml,Bebida Mista,unidade,74un,Ambev,,"R$ 9,00",,"R$ 50,00",,
Skol Beats Long GT,269ml,Bebida Mista,unidade,23un,Ambev,,"R$ 9,00",,,,
Skol Beats Long RED MIX,Indisponivel,Indisponível,unidade,,Ambev,,"R$ 9,00",,,,
Skol Beats Lata SENSES,269ml,Bebida Mista,unidade,15un,Ambev,,"R$ 8,00",,"R$ 55,00",,
Skol Beats Lata GT,269ml,Bebida Mista,unidade,19un,Ambev,,"R$ 8,00",,,,
Skol Beats Lata RED MIX,Indisponivel,Indisponível,unidade,15un,Ambev,,"R$ 8,00",,,,
Sprite ,350ml,Refrigerante,unidade,100un,Coca Cola,,"R$ 5,00",,"R$ 42,00",,
Soda,350ml,Refrigerante,unidade,2un,Ambev,,"R$ 5,00",,,,
Guaraná ,350ml,Refrigerante,"pacote (12un.), unidade",3pc + 8un,Ambev,,"R$ 5,00",,"R$ 40,00",,
Sukita Uva,350ml,Refrigerante,unidade,20un,Ambev,,"R$ 5,00",,,,
Sukita Laranja,350ml,Refrigerante,unidade,33un,Ambev,,"R$ 5,00",,,,
Pepsi Black,350ml,Refrigerante,unidade,35un,Ambev,,"R$ 5,00",,"R$ 38,00",,
Schweppes ,Indisponivel,Indisponível,unidade,,Coca Cola,,"R$ 6,00",,,,
Fys Limão Siciliano,350ml,Refrigerante,unidade,22un,,,"R$ 5,00",,,,
Água Tônica ,350ml,Água,unidade,4un,Ambev,,"R$ 6,00",,,,
Gatorade Limão ,500ml,Isotônico,unidade,2un,Ambev,,"R$ 8,00",,,,
Gatorade Uva,500ml,Isotônico,unidade,2un,Ambev,,"R$ 8,00",,,,
Gatorade Berry Blue,500ml,Isotônico,unidade,40un,Ambev,,"R$ 8,00",,,,
Gatorade Morango e Maracujá ,500ml,Isotônico,unidade,19un,Ambev,,"R$ 8,00",,,,
Poder Ade Limão ,500ml,Isotônico,unidade,2un,,,"R$ 8,00",,,,
Poder Ade Frutas Tropicais,500ml,Isotônico,unidade,4un,,,"R$ 8,00",,,,
Poder Ade Uva,500ml,Isotônico,unidade,3un,,,"R$ 8,00",,,,
Poder Ade Mix de Frutas,500ml,Isotônico,unidade,2un,,,"R$ 8,00",,,,
H2OH! Limão ,500ml,Água,unidade,46un,Ambev,,"R$ 6,00",,,,
Fresca Água com Gás ,510ml,Água,unidade,24un,,,"R$ 4,00",,"R$ 25,00",,
Crystal Água sem Gás,510ml,Água,"unidade, pacote (12un.)",30pc + 7un,,,"R$ 2,00",,"R$ 12,00",,
Del Valle Uva,290ml,Suco,unidade,4un,Coca Cola,,"R$ 6,00",,,,
Del Valle Maracujá ,290ml,Suco,unidade,4un,Coca Cola,,"R$ 6,00",,,,
DuCoco Água de Coco,200ml,Água,unidade,51un,,,"R$ 4,00",,,,
Essência Ziggy Fresh Lemon,50g,Tabacaria,unidade,6un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Grape,50g,Tabacaria,unidade,5un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Frutti,50g,Tabacaria,unidade,6un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Berry,50g,Tabacaria,unidade,14un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Caju Tropical,50g,Tabacaria,unidade,3un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Banana Tropical ,50g,Tabacaria,unidade,11un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Cherry,50g,Tabacaria,unidade,15un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Yogurt,50g,Tabacaria,unidade,10un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Hapocalyx Mint,50g,Tabacaria,unidade,5un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Watermelon Bomb,50g,Tabacaria,unidade,9un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Frutas Roxas,50g,Tabacaria,unidade,15un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Frutas Amarelas,50g,Tabacaria,unidade,10un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Morango e Laranja,50g,Tabacaria,unidade,9un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Duas Goiabas,50g,Tabacaria,unidade,1un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Frutas Verdes,50g,Tabacaria,unidade,5un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Yellow,50g,Tabacaria,unidade,10un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Cora Magic,50g,Tabacaria,unidade,10un,Nargas essencias,,"R$ 13,00",,,,
Essência Ziggy Duas Maçãs Verdes,50g,Tabacaria,unidade,5un,Nargas essencias,,"R$ 13,00",,,,
Essência Zomo Menta,50g,Tabacaria,unidade,5un,Nargas essencias,,"R$ 13,00",,,,
Carvão Zomo,500g,Tabacaria,"unidade, pacote (500g)",,Nargas essencias,,"R$ 1,50",,"R$ 26,00",,
Carvão Zomo,1kg,Tabacaria,"unidade, caixa (1kg)",1pc,Nargas essencias,,"R$ 1,50",,"R$ 48,00",,
Carvão Fumax,500g,Tabacaria,"unidade, pacote (500g)",,Nargas essencias,,"R$ 1,50",,"R$ 26,00",,
Carvão Fumax,1kg,Tabacaria,"unidade, caixa (1kg)",7pc,Nargas essencias,,"R$ 1,50",,"R$ 48,00",,
Carvão Power,1kg,Tabacaria,"unidade, pacote (1kg)",26pc,Nargas essencias,,"R$ 1,00",,"R$ 28,00",,
Folha de Alumínio ,,Tabacaria,unidade,30un,Nargas essencias,,"R$ 1,00",,,,
Rothmans Global RED ,,Cigarro,unidade,127un,Sousa Cruz,,"R$ 7,50",,,,
Rothmans Global BLUE,,Cigarro,unidade,83un,Sousa Cruz,,"R$ 7,50",,,,
Rothmans Classic BLUE,,Cigarro,unidade,69un,Sousa Cruz,,"R$ 7,75",,,,
Lucky Strike Patterson RED ,,Cigarro,unidade,30un,Sousa Cruz,,"R$ 7,50",,,,
Lucky Strike Patterson BLUE,,Cigarro,unidade,37un,Sousa Cruz,,"R$ 7,50",,,,
Rothmans Internacional BLUE,,Cigarro,unidade,39un,Sousa Cruz,,"R$ 11,00",,,,
Rothmans Double Click,,Cigarro,unidade,26un,Sousa Cruz,,"R$ 10,00",,,,
Rothmans Click Sense,,Cigarro,unidade,39un,Sousa Cruz,,"R$ 10,00",,,,
Rothmans Ice Boost,,Cigarro,unidade,27un,Sousa Cruz,,"R$ 10,00",,,,
Rothmans Purple Boost,,Cigarro,unidade,24un,Sousa Cruz,,"R$ 10,00",,,,
Rothmans Tropical Boost,,Cigarro,unidade,15un,Sousa Cruz,,"R$ 10,00",,,,
Chesterfild Terras Brasileiras BLUE,,Cigarro,unidade,36un,Philips,"R$ 8,08","R$ 8,75","8,29%",,,
Chesterfild Terras Brasileiras RED,,Cigarro,unidade,31un,Philips,"R$ 8,08","R$ 8,75","8,29%",,,
Chesterfild Original BLUE,,Cigarro,unidade,31un,Philips,"R$ 9,01","R$ 9,75","8,21%",,,
Chesterfild Original Label RED,,Cigarro,unidade,36un,Philips,"R$ 9,01","R$ 9,75","8,21%",,,
L&M First Cut BLUE,,Cigarro,unidade,92un,Philips,"R$ 7,16","R$ 7,75","8,24%",,,
L&M First Cut RED,,Cigarro,unidade,33un,Philips,"R$ 7,16","R$ 7,75","8,24%",,,
L&M First Cut SILVER,,Cigarro,unidade,10un,Philips,"R$ 7,16","R$ 7,75","8,24%",,,
L&M FineCut BLUE LINE,,Cigarro,unidade,40un,Philips,"R$ 11,78","R$ 12,75","8,23%",,,
Harmony By Luxor,,Cigarro,unidade,30un,Philips,"R$ 11,78","R$ 12,75","8,23%",,,
Marlboro GOLD Selection,,Cigarro,unidade,83un,Philips,"R$ 9,27","R$ 10,75","15,97%",,,
Marlboro RED Selection,,Cigarro,unidade,17un,Philips,"R$ 9,27","R$ 10,75","15,97%",,,
Camel Double ,,Cigarro,unidade,14un,General,"R$ 13,59","R$ 15,00","10,38%",,,
Camel Option,,Cigarro,unidade,8un,General,"R$ 13,82","R$ 15,00","8,54%",,,
Camel BLUE,,Cigarro,unidade,24un,General,"R$ 9,67","R$ 10,50","8,58%",,,
Camel YELLOW ,,Cigarro,unidade,35un,General,"R$ 9,67","R$ 10,50","8,58%",,,
Chesterfild Remix Beats,,Cigarro,unidade,17un,Philips,"R$ 9,70","R$ 10,50","8,25%",,,
Chesterfild Remix Fresh & Mint,,Cigarro,unidade,27un,Philips,"R$ 9,70","R$ 10,50","8,25%",,,
Chesterfild Remix Blossom,,Cigarro,unidade,24un,Philips,"R$ 9,70","R$ 10,50","8,25%",,,
Chesterfild Remix Wild ,,Cigarro,unidade,38un,Philips,"R$ 9,70","R$ 10,50","8,25%",,,
Marlboro Ice Burst,,Cigarro,unidade,64un,Philips,"R$ 13,85","R$ 15,00","8,30%",,,
Marlboro Tropical Fusion,,Cigarro,unidade,36un,Philips,"R$ 14,32","R$ 15,50","8,24%",,,
Marlboro Forest Fusion ,,Cigarro,unidade,25un,Philips,"R$ 14,32","R$ 15,50","8,24%",,,
Lucky Strike Fresh Mint X,,Cigarro,unidade,17un,Sousa Cruz,,"R$ 13,00",,,,
Lucky Strike Double Frost,,Cigarro,unidade,15un,Sousa Cruz,,"R$ 13,50",,,,
Lucky Strike Blue Click,,Cigarro,unidade,14un,Sousa Cruz,,"R$ 10,00",,,,
Black Kretek ,,Cigarro,unidade,9un,General,"R$ 17,94","R$ 19,50","8,70%",,,
Black Kretek Menthol,,Cigarro,unidade,19un,General,"R$ 17,94","R$ 19,50","8,70%",,,
L.A. Menthol,,Cigarro,unidade,13un,General,"R$ 15,64","R$ 17,00","8,70%",,,
Gudang Garam CRAVO,,Cigarro,unidade,15un,Nargas essencias,,"R$ 30,00",,,,
Winston Classic RED,,Cigarro,unidade,47un,General,"R$ 7,40","R$ 8,00","8,11%",,,
Winston Classic BLUE,,Cigarro,unidade,68un,General,"R$ 7,40","R$ 8,00","8,11%",,,
Rothmans Of London BLUE,,Cigarro,unidade,193un,Sousa Cruz,,"R$ 9,25",,,,
Rothmans Of London RED,,Cigarro,unidade,84un,Sousa Cruz,,"R$ 9,25",,,,
Rothmans Of London SILVER,,Cigarro,unidade,36un,Sousa Cruz,,"R$ 9,25",,,,
Dunhill RED,,Cigarro,unidade,91un,Sousa Cruz,"R$ 13,86","R$ 15,00","8,23%",,,
Dunhill BLUE,,Cigarro,unidade,22un,Sousa Cruz,"R$ 13,86","R$ 15,00","8,23%",,,
Dunhill Ice Refresh,,Cigarro,unidade,19un,Sousa Cruz,"R$ 13,86","R$ 15,00","8,23%",,,
Dunhill Double Refresh,,Cigarro,unidade,13un,Sousa Cruz,"R$ 13,86","R$ 15,00","8,23%",,,
Dunhill On RED,,Cigarro,unidade,22un,Sousa Cruz,"R$ 11,55","R$ 13,25","14,72%",,,
Dunhill On BLUE,,Cigarro,unidade,37un,Sousa Cruz,"R$ 11,55","R$ 13,25","14,72%",,,
Dunhill On SILVER,,Cigarro,unidade,9un,Sousa Cruz,"R$ 11,55","R$ 13,25","14,72%",,,
Dunhill On Ice Boost,,Cigarro,unidade,26un,Sousa Cruz,"R$ 11,55","R$ 13,25","14,72%",,,
Kent BLUE Series MAÇO ,,Cigarro,unidade,35un,Sousa Cruz,,"R$ 12,75",,,,
Kent SILVER Series MAÇO ,,Cigarro,unidade, 32un,Sousa Cruz,,"R$ 12,75",,,,
Lucky Strike BLUE ,,Cigarro,unidade,3un,Sousa Cruz,,"R$ 12,50",,,,
Lucky Strike RED ,,Cigarro,unidade,31un,Sousa Cruz,,"R$ 12,50",,,,
Marlboro GOLD,,Cigarro,unidade,30un,Philips,"R$ 13,85","R$ 15,00","8,30%",,,
Marlboro RED,,Cigarro,unidade,48un,Philips,"R$ 13,85","R$ 15,00","8,30%",,,
Isqueiro BIC PEQUENO,,Cigarro,unidade,77un,Sousa Cruz,,"R$ 5,50",,,,
Isqueiro BIC GRANDE,,Cigarro,unidade,10un,Sousa Cruz,,"R$ 7,50",,,,
Isqueiro ,,Cigarro,unidade,58un,Atacadão,,"R$ 3,00",,,,
Papelito Piteira ,,Cigarro,unidade,20un,General,"R$ 2,43","R$ 5,00","105,76%",,,
Amsterdam Tabacco,,Cigarro,unidade,15un,General,"R$ 11,85","R$ 19,00","60,34%",,,
Charuto Talvis,,Cigarro,unidade,40un,General,,"R$ 6,00",,,,
Charuto Talvis Chocolate,,Cigarro,unidade,40un,General,,"R$ 7,00",,,,
Seda Smoking Brown ,,Cigarro,unidade,24un,,,"R$ 7,00",,,,
Seda Smoking Master,,Cigarro,unidade,28un,,,"R$ 7,00",,,,
Seda Zomo (Marrom),,Cigarro,unidade,20un,,,"R$ 6,00",,,,
Trident Menta,,Doces,unidade,7un,Ambev,,"R$ 3,00",,,,
Trident Morango,,Doces,unidade,61un,Ambev,,"R$ 3,00",,,,
Trident Hortelã ,,Doces,unidade,89un,Ambev,,"R$ 3,00",,,,
Trident Tutti Frutti,,Doces,unidade,3un,Ambev,,"R$ 3,00",,,,
Trident Melancia,,Doces,unidade,66un,Ambev,,"R$ 3,00",,,,
Mentos Spearmint,,Doces,unidade,32un,Coca Cola,,"R$ 3,00",,,,
Mentos Fresh Mint,,Doces,unidade,29un,Coca Cola,,"R$ 3,00",,,,
Mentos Morango/Maça Verde/Framboesa ,,Doces,unidade,26un,Coca Cola,,"R$ 3,00",,,,
Halls Menta,,Doces,unidade,12un,Mondelez Doces,,"R$ 2,50",,,,
Halls Melancia,,Doces,unidade,35un,Mondelez Doces,,"R$ 2,50",,,,
Halls Uva Verde,,Doces,unidade,20un,Mondelez Doces,,"R$ 2,50",,,,
Halls Menta Prata,,Doces,unidade,6un,Mondelez Doces,,"R$ 2,50",,,,
Halls Mentol,,Doces,unidade,42un,Mondelez Doces,,"R$ 2,50",,,,
Halls Extra Forte,,Doces,unidade,83un,Mondelez Doces,,"R$ 2,50",,,,
Halls Morango,50g,Doces,unidade,,Mondelez Doces,,"R$ 2,50",,,,
Halls Cereja,,Doces,unidade,42un,Mondelez Doces,,"R$ 2,50",,,,
Suco Tang Maracuja ,,Suco,unidade,13un,Atacadão,,"R$ 2,00",,,,
Suco Tang Abacaxi,,Suco,unidade,9un,Atacadão,,"R$ 2,00",,,,
Suco Mid Baunilha com Limão ,,Suco,unidade,8un,Atacadão,,"R$ 2,00",,,,
Suco Mid Abacaxi,,Suco,unidade,8un,Atacadão,,"R$ 2,00",,,,
Suco Mid Morango,,Suco,unidade,14un,Atacadão,,"R$ 2,00",,,,
Suco Mid Maracujá ,,Suco,unidade,3un,Atacadão,,"R$ 2,00",,,,
Maratá Maracujá 200ml,,Suco,unidade,81un,,,"R$ 2,50",,,,
Maratá Pêssego 200ml,,Suco,unidade,27un,,,"R$ 2,50",,,,
Maratá Manga 200ml,,Suco,unidade,27un,,,"R$ 2,50",,,,
Maratá Uva 200ml,,Suco,unidade,54un,,,"R$ 2,50",,,,
Maratá Laranja 200ml,,Suco,unidade,54un,,,"R$ 2,50",,,,
Maratá Goiaba 200ml,,Suco,unidade,27un,,,"R$ 2,50",,,,
Barra Lacta Shot,,Doces,unidade,12un,Mondelez Doces,,"R$ 11,00",,,,
Barra Lacta Diamante Negro,,Doces,unidade,13un,Mondelez Doces,,"R$ 11,00",,,,
Barra Lacta Ouro Branco,,Doces,unidade,14un,Mondelez Doces,,"R$ 11,00",,,,
Barra Lacta Laka,,Doces,unidade,11un,Mondelez Doces,,"R$ 11,00",,,,
Barra Nestlé Alpino,,Doces,unidade,12un,Atacadão,,"R$ 11,00",,,,
Barra Lacta Sonho de Valsa,,Doces,unidade,14un,Mondelez Doces,,"R$ 11,00",,,,
Barra Lacta Ao Leite,,Doces,unidade,15un,Mondelez Doces,,"R$ 11,00",,,,
Barra Lacta Laka+Diamante Negro,,Doces,unidade,15un,Mondelez Doces,,"R$ 11,00",,,,
Barra Nestlé Meio Amargo,,Doces,unidade,15un,Atacadão,,"R$ 11,00",,,,
Barra Nestlé Prestígio ,,Doces,unidade,15un,Atacadão,,"R$ 11,00",,,,
Barra Nestlé Choco Trio,,Doces,unidade,15un,Atacadão,,"R$ 11,00",,,,
Barra Garoto Negresco,,Doces,unidade,15un,Atacadão,,"R$ 11,00",,,,
Barra Milka Strawberry,,Doces,unidade,20un,Atacadão,,"R$ 15,00",,,,
Barra Milka Alipine Milk,,Doces,unidade,20un,Atacadão,,"R$ 15,00",,,,
Chocolate Baton Ao Leite ,,Doces,unidade,60un,Atacadão,,"R$ 2,50",,,,
Chocolate Baton Creme de morango ,,Doces,unidade,30un,Atacadão,,"R$ 2,50",,,,
Bombom Sonho de Valsa,,Doces,unidade,32un,Mondelez Doces,,"R$ 2,50",,,,
Bombom Ouro Branco,,Doces,unidade,26un,Mondelez Doces,,"R$ 2,50",,,,
Fini Tubes Tutti Frutti,,Doces,unidade,4un,Mondelez Doces,,"R$ 2,00",,,,
Fini Tubes Morango e Nata,,Doces,unidade,1un,Mondelez Doces,,"R$ 2,00",,,,
Fini Tubes Cereja/Maça Verde e Abacaxi,,Doces,unidade,9un,Mondelez Doces,,"R$ 2,00",,,,
Barrinha Sonho de Valsa,,Doces,unidade,4un,Mondelez Doces,,"R$ 4,00",,,,
Barrinha Lacta Ao Leite ,,Doces,unidade,11un,Mondelez Doces,,"R$ 3,50",,,,
Bolacha Oréo,Indisponivel,Indisponível,unidade,,Mondelez Doces,,"R$ 3,00",,,,
Gelo Coko Coco,,Gelo,unidade,225un,Atacadão,,"R$ 3,50",,,,
Gelo Coko Maracujá ,,Gelo,unidade,318un,Atacadão,,"R$ 3,50",,,,
Gelo Coko Melancia,,Gelo,unidade,181un,Atacadão,,"R$ 3,50",,,,
Gelo Coko Morango,,Gelo,unidade,358un,Atacadão,,"R$ 3,50",,,,
Gelo Coko Maçã Verde,,Gelo,unidade,342un,Atacadão,,"R$ 3,50",,,,
Gelo em cubos ,5Kg,Gelo,unidade,41un,,,"R$ 12,00",,,,
Carvão Churrasco ,2Kg,Carvão,unidade,87un,Calaça,,"R$ 15,00",,,,
Carvão Churrasco ,4Kg,Carvão,unidade,74un,Calaça,,"R$ 26,00",,,,
Carvão Churrasco ,8Kg,Carvão,unidade,15un,Calaça,,"R$ 48,00",,,,
Skol Retornável,300ml,Cerveja,caixa (24un.),10cx,Ambev,,"R$ 68,00",,,,
Original Retornável ,300ml,Cerveja,caixa (24un.),5cx,Ambev,,"R$ 78,00",,,,
Heineken Retornável ,600ml,Cerveja,caixa (24un.),5cx,Heineken,"R$ 210,53","R$ 230,00","9,25%",,,
Brahma Chopp Retornável ,300ml,Cerveja,caixa (24un.),3cx,Ambev,,"R$ 68,00",,,,
Brahma Duplo Retornável,300ml,Indisponível,caixa (24un.),,Ambev,,"R$ 68,00",,,,
Budweiser Retornável ,300ml,Indisponível,caixa (24un.),,Ambev,,"R$ 68,00",,,,
Itaipava Retornável,300ml,Cerveja,caixa (24un.),1cx,Itaipava,"R$ 33,65","R$ 60,00","78,31%",,,